t,Input_0,Output_0
151,1.0,2.033381462097168
152,1.0,2.033381462097168
153,1.0,2.033381462097168
154,1.0,2.033381462097168
155,1.0,2.033381462097168
156,1.0,2.033381462097168
157,1.0,2.033381462097168
158,1.0,2.033381462097168
159,1.0,2.033381462097168
160,1.0,2.033381462097168
161,1.0,2.033381462097168
162,1.0,2.033381462097168
163,1.0,2.033381462097168
164,1.0,2.033381462097168
165,1.0,2.033381462097168
166,1.0,2.033381462097168
167,1.0,2.033381462097168
168,1.0,2.033381462097168
169,1.0,2.033381462097168
170,1.0,2.033381462097168
171,1.0,2.033381462097168
172,1.0,2.033381462097168
173,1.0,2.033381462097168
174,1.0,2.033381462097168
175,1.0,2.033381462097168
176,1.0,2.033381462097168
177,1.0,2.033381462097168
178,1.0,2.033381462097168
179,1.0,2.033381462097168
180,1.0,2.033381462097168
181,0.772222222222222,1.845811367034912
182,0.3,1.4569458961486816
183,0.3,1.4569458961486816
184,0.3,1.4569458961486816
185,0.3,1.4569458961486816
186,0.3,1.4569458961486816
187,0.3,1.4569458961486816
188,0.3,1.4569458961486816
189,0.3703125,1.514846920967102
190,0.9625,2.0025012493133545
191,1.0,2.033381462097168
192,0.583333333333333,1.6902652978897095
193,0.4,1.5392937660217285
194,0.4,1.5392937660217285
195,0.4,1.5392937660217285
196,0.4,1.5392937660217285
197,0.4,1.5392937660217285
198,0.4,1.5392937660217285
199,0.4,1.5392937660217285
200,0.735294117647058,1.8154016733169556
201,1.0,2.033381462097168
202,0.75,1.8275116682052612
203,0.4,1.5392937660217285
204,0.4,1.5392937660217285
205,0.4,1.5392937660217285
206,0.4,1.5392937660217285
207,0.4,1.5392937660217285
208,0.4,1.5392937660217285
209,0.4,1.5392937660217285
210,0.583333333333333,1.6902652978897095
211,1.0,2.033381462097168
212,1.0,2.033381462097168
213,1.0,2.033381462097168
214,1.0,2.033381462097168
215,1.0,2.033381462097168
216,1.0,2.033381462097168
217,1.0,2.033381462097168
218,1.0,2.033381462097168
219,1.0,2.033381462097168
220,1.0,2.033381462097168
221,1.0,2.033381462097168
222,1.0,2.033381462097168
223,0.979910714285714,2.016838550567627
224,0.5732421875,1.681955337524414
225,0.5,1.6216418743133545
226,0.5,1.6216418743133545
227,0.5,1.6216418743133545
228,0.5,1.6216418743133545
229,0.5,1.6216418743133545
230,0.5,1.6216418743133545
231,0.5,1.6216418743133545
232,0.795230263157894,1.864758014678955
233,1.0,2.033381462097168
234,1.0,2.033381462097168
235,1.0,2.033381462097168
236,1.0,2.033381462097168
237,1.0,2.033381462097168
238,1.0,2.033381462097168
239,1.0,2.033381462097168
240,1.0,2.033381462097168
241,1.0,2.033381462097168
242,1.0,2.033381462097168
243,1.0,2.033381462097168
244,1.0,2.033381462097168
245,1.0,2.033381462097168
246,1.0,2.033381462097168
247,1.0,2.033381462097168
248,1.0,2.033381462097168
249,1.0,2.033381462097168
250,0.85,1.909859538078308
251,0.7,1.786337971687317
252,0.7,1.786337971687317
253,0.7,1.786337971687317
254,0.7,1.786337971687317
255,0.7,1.786337971687317
256,0.83,1.89339017868042
257,1.0,2.033381462097168
258,1.0,2.033381462097168
259,1.0,2.033381462097168
260,1.0,2.033381462097168
261,1.0,2.033381462097168
262,1.0,2.033381462097168
263,1.0,2.033381462097168
264,1.0,2.033381462097168
265,1.0,2.033381462097168
266,1.0,2.033381462097168
267,1.0,2.033381462097168
268,1.0,2.033381462097168
269,1.0,2.033381462097168
270,1.0,2.033381462097168
271,1.0,2.033381462097168
272,1.0,2.033381462097168
273,1.0,2.033381462097168
274,1.0,2.033381462097168
275,1.0,2.033381462097168
276,1.0,2.033381462097168
277,1.0,2.033381462097168
278,1.0,2.033381462097168
279,1.0,2.033381462097168
280,1.0,2.033381462097168
281,1.0,2.033381462097168
282,1.0,2.033381462097168
283,1.0,2.033381462097168
284,1.0,2.033381462097168
285,1.0,2.033381462097168
286,1.0,2.033381462097168
287,1.0,2.033381462097168
288,1.0,2.033381462097168
289,1.0,2.033381462097168
290,1.0,2.033381462097168
291,1.0,2.033381462097168
292,1.0,2.033381462097168
293,1.0,2.033381462097168
294,1.0,2.033381462097168
295,1.0,2.033381462097168
296,1.0,2.033381462097168
297,1.0,2.033381462097168
298,1.0,2.033381462097168
299,1.0,2.033381462097168
300,1.0,2.033381462097168
301,1.0,2.033381462097168
302,1.0,2.033381462097168
303,1.0,2.033381462097168
304,1.0,2.033381462097168
305,1.0,2.033381462097168
306,1.0,2.033381462097168
307,1.0,2.033381462097168
308,1.0,2.033381462097168
309,1.0,2.033381462097168
310,1.0,2.033381462097168
311,1.0,2.033381462097168
312,1.0,2.033381462097168
313,1.0,2.033381462097168
314,1.0,2.033381462097168
315,1.0,2.033381462097168
316,1.0,2.033381462097168
317,1.0,2.033381462097168
318,1.0,2.033381462097168
319,1.0,2.033381462097168
320,1.0,2.033381462097168
321,1.0,2.033381462097168
322,1.0,2.033381462097168
323,1.0,2.033381462097168
324,1.0,2.033381462097168
325,0.805882352941176,1.8735296726226807
326,0.4,1.5392937660217285
327,0.4,1.5392937660217285
328,0.4,1.5392937660217285
329,0.4,1.5392937660217285
330,0.4,1.5392940044403076
331,0.4,1.5392937660217285
332,0.4,1.5392937660217285
333,0.492647058823529,1.6155868768692017
334,0.994230769230769,2.0286307334899902
335,1.0,2.033381462097168
336,0.55,1.6628159284591675
337,0.4,1.5392937660217285
338,0.4,1.5392937660217285
339,0.4,1.5392937660217285
340,0.4,1.5392937660217285
341,0.4,1.5392937660217285
342,0.4,1.5392937660217285
343,0.4,1.5392937660217285
344,0.770588235294117,1.844465732574463
345,1.0,2.033381462097168
346,0.716666666666666,1.8000625371932983
347,0.4,1.5392937660217285
348,0.4,1.5392937660217285
349,0.4,1.5392937660217285
350,0.4,1.5392937660217285
351,0.4,1.5392937660217285
352,0.4,1.5392937660217285
353,0.4,1.5392937660217285
354,0.594117647058823,1.6991459131240845
355,1.0,2.033381462097168
356,1.0,2.033381462097168
357,0.943606138107416,1.9869426488876343
358,0.398067632850241,1.5377026796340942
359,0.3,1.4569458961486816
360,0.3,1.4569458961486816
361,0.3,1.4569458961486816
362,0.3,1.4569458961486816
363,0.3,1.4569458961486816
364,0.3,1.4569458961486816
365,0.3,1.4569458961486816
366,0.67697628458498,1.7673782110214233
367,1.0,2.033381462097168
368,1.0,2.033381462097168
369,1.0,2.033381462097168
370,1.0,2.033381462097168
371,1.0,2.033381462097168
372,1.0,2.033381462097168
