t,Input_0,Output_0
182,0.3,1.5165071487426758
183,0.3,1.5165071487426758
184,0.3,1.5165071487426758
185,0.3,1.5165071487426758
186,0.3,1.5165071487426758
187,0.3,1.5165071487426758
188,0.3,1.5165071487426758
189,0.3703125,1.566860318183899
190,0.9625,1.990946650505066
191,1.0,2.0178017616271973
192,0.583333333333333,1.719412088394165
193,0.4,1.5881205797195435
194,0.4,1.5881205797195435
195,0.4,1.5881205797195435
196,0.4,1.5881205797195435
197,0.4,1.5881205797195435
198,0.4,1.5881205797195435
199,0.4,1.5881205797195435
200,0.735294117647058,1.8282365798950195
201,1.0,2.0178017616271973
202,0.75,1.8387680053710938
203,0.4,1.5881205797195435
204,0.4,1.5881205797195435
205,0.4,1.5881205797195435
206,0.4,1.5881205797195435
207,0.4,1.5881205797195435
208,0.4,1.5881205797195435
209,0.4,1.5881205797195435
210,0.583333333333333,1.719412088394165
211,1.0,2.0178017616271973
212,1.0,2.0178017616271973
213,1.0,2.0178017616271973
214,1.0,2.0178017616271973
215,1.0,2.0178017616271973
216,1.0,2.0178017616271973
217,1.0,2.0178017616271973
218,1.0,2.0178017616271973
219,1.0,2.0178017616271973
220,1.0,2.0178017616271973
221,1.0,2.0178017616271973
222,1.0,2.0178017616271973
223,0.979910714285714,2.003415107727051
224,0.5732421875,1.7121853828430176
225,0.5,1.6597341299057007
226,0.5,1.6597341299057007
227,0.5,1.6597341299057007
228,0.5,1.6597341299057007
229,0.5,1.6597341299057007
230,0.5,1.6597341299057007
231,0.5,1.6597341299057007
232,0.795230263157894,1.8711589574813843
233,1.0,2.0178017616271973
234,1.0,2.0178017616271973
235,1.0,2.0178017616271973
236,1.0,2.0178017616271973
237,1.0,2.0178017616271973
238,1.0,2.0178017616271973
239,1.0,2.0178017616271973
240,1.0,2.0178017616271973
241,1.0,2.0178017616271973
242,1.0,2.0178017616271973
243,1.0,2.0178017616271973
244,1.0,2.0178017616271973
245,1.0,2.0178017616271973
246,1.0,2.0178017616271973
247,1.0,2.0178017616271973
248,1.0,2.0178017616271973
249,1.0,2.0178017616271973
250,0.85,1.910381555557251
251,0.7,1.8029611110687256
252,0.7,1.8029611110687256
253,0.7,1.8029611110687256
254,0.7,1.8029611110687256
255,0.7,1.8029611110687256
256,0.83,1.8960587978363037
257,1.0,2.0178017616271973
258,1.0,2.0178017616271973
259,1.0,2.0178017616271973
260,1.0,2.0178017616271973
261,1.0,2.0178017616271973
